"FullName","Name","Extension","Length","CreationTime","LastWriteTime","LastAccessTime"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\start-safe.bat","start-safe.bat",".bat","416","14/6/2026 2:39:08 PM","14/6/2026 2:42:10 PM","20/6/2026 12:20:40 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\admin\feature-overrides.json","feature-overrides.json",".json","38","20/6/2026 8:06:08 PM","20/6/2026 8:06:08 PM","20/6/2026 8:06:08 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\admin\firm-subscriptions.json","firm-subscriptions.json",".json","603","20/6/2026 8:06:08 PM","20/6/2026 8:06:08 PM","20/6/2026 8:06:08 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\admin\subscription-admin.js","subscription-admin.js",".js","3271","20/6/2026 8:06:08 PM","20/6/2026 8:06:08 PM","20/6/2026 8:06:08 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\admin\trial-controls.json","trial-controls.json",".json","208","20/6/2026 8:06:08 PM","20/6/2026 8:06:08 PM","20/6/2026 8:06:08 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\ARCHIVE_DOCTOR_BACKUPS\cases.js.doctor-backup","cases.js.doctor-backup",".doctor-backup","5887","14/6/2026 3:39:04 PM","12/6/2026 3:58:33 PM","20/6/2026 11:16:57 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\ARCHIVE_DOCTOR_BACKUPS\clients.js.doctor-backup","clients.js.doctor-backup",".doctor-backup","1437","14/6/2026 3:39:04 PM","11/6/2026 1:36:38 AM","20/6/2026 11:16:57 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\ARCHIVE_DOCTOR_BACKUPS\deadlines.js.doctor-backup","deadlines.js.doctor-backup",".doctor-backup","1631","14/6/2026 3:39:04 PM","10/6/2026 12:57:46 PM","20/6/2026 11:16:57 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\ARCHIVE_DOCTOR_BACKUPS\debug.js.doctor-backup","debug.js.doctor-backup",".doctor-backup","520","14/6/2026 3:28:37 PM","14/6/2026 3:16:04 PM","20/6/2026 11:16:57 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\ARCHIVE_DOCTOR_BACKUPS\documents.js.doctor-backup","documents.js.doctor-backup",".doctor-backup","1090","14/6/2026 3:39:04 PM","10/6/2026 12:58:11 PM","20/6/2026 11:16:57 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\ARCHIVE_DOCTOR_BACKUPS\errors.js.doctor-backup","errors.js.doctor-backup",".doctor-backup","1170","14/6/2026 3:28:37 PM","14/6/2026 3:16:16 PM","20/6/2026 11:16:57 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\ARCHIVE_DOCTOR_BACKUPS\staff.js.doctor-backup","staff.js.doctor-backup",".doctor-backup","3239","14/6/2026 3:39:04 PM","11/6/2026 1:29:49 PM","20/6/2026 11:16:57 AM"
