"FullName","CreationTime","LastWriteTime","LastAccessTime"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\logs\automation","18/6/2026 8:26:19 AM","18/6/2026 8:26:19 AM","20/6/2026 10:26:26 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\logs\errors","18/6/2026 8:26:19 AM","18/6/2026 8:26:19 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\logs\health","18/6/2026 8:26:19 AM","18/6/2026 8:26:19 AM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin","9/6/2026 3:35:56 PM","9/6/2026 5:41:36 PM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\@babel","9/6/2026 3:35:57 PM","9/6/2026 3:36:40 PM","20/6/2026 10:33:17 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\@bcoe","9/6/2026 3:36:53 PM","9/6/2026 3:36:53 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\@colors","9/6/2026 3:36:55 PM","9/6/2026 3:36:55 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\@dabh","9/6/2026 3:36:57 PM","9/6/2026 3:36:57 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\@eslint","9/6/2026 3:36:59 PM","9/6/2026 3:37:02 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\@eslint-community","9/6/2026 3:37:02 PM","9/6/2026 3:37:02 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\@humanwhocodes","9/6/2026 3:37:03 PM","9/6/2026 3:37:04 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\@istanbuljs","9/6/2026 3:37:05 PM","9/6/2026 3:37:12 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\@jest","9/6/2026 3:37:13 PM","9/6/2026 3:37:24 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\@jridgewell","9/6/2026 3:37:25 PM","9/6/2026 3:37:28 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\@noble","9/6/2026 3:37:29 PM","9/6/2026 3:37:29 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\@nodelib","9/6/2026 3:37:39 PM","9/6/2026 3:37:41 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\@paralleldrive","9/6/2026 3:37:43 PM","9/6/2026 3:37:43 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\@redis","9/6/2026 3:37:43 PM","9/6/2026 3:38:28 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\@sinclair","9/6/2026 3:38:30 PM","9/6/2026 3:38:30 PM","20/6/2026 10:33:18 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\@sinonjs","9/6/2026 3:38:33 PM","9/6/2026 3:38:36 PM","20/6/2026 10:33:18 PM"
