"Name","FullPath","Extension","SizeBytes","LastModified","Category"
"import-local-fixture.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\import-local-fixture.ps1",".ps1","837","9/6/2026 12:04:02 PM","General"
"jest.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\jest.ps1",".ps1","789","9/6/2026 12:04:02 PM","General"
"js-yaml.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\js-yaml.ps1",".ps1","813","9/6/2026 3:43:11 PM","General"
"jsesc.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\jsesc.ps1",".ps1","785","9/6/2026 3:43:11 PM","General"
"json5.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\json5.ps1",".ps1","789","9/6/2026 3:43:11 PM","General"
"mime.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\mime.ps1",".ps1","769","9/6/2026 3:43:11 PM","General"
"node-which.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\node-which.ps1",".ps1","805","9/6/2026 3:43:11 PM","General"
"nodemon.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\nodemon.ps1",".ps1","813","9/6/2026 3:43:11 PM","General"
"nodetouch.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\nodetouch.ps1",".ps1","813","9/6/2026 3:43:11 PM","General"
"parser.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\parser.ps1",".ps1","857","9/6/2026 12:04:02 PM","General"
"prebuild-install.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\prebuild-install.ps1",".ps1","817","9/6/2026 5:41:36 PM","General"
"prettier.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\prettier.ps1",".ps1","821","9/6/2026 3:43:11 PM","General"
"rc.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\rc.ps1",".ps1","761","9/6/2026 5:41:36 PM","General"
"resolve.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\resolve.ps1",".ps1","801","9/6/2026 3:43:11 PM","General"
"rimraf.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\rimraf.ps1",".ps1","777","9/6/2026 3:43:11 PM","General"
"semver.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\semver.ps1",".ps1","805","9/6/2026 3:43:11 PM","General"
"update-browserslist-db.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\update-browserslist-db.ps1",".ps1","841","9/6/2026 3:43:11 PM","General"
"uuid.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\.bin\uuid.ps1",".ps1","797","9/6/2026 3:43:11 PM","General"
"js-yaml.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\@istanbuljs\load-nyc-config\node_modules\.bin\js-yaml.ps1",".ps1","813","9/6/2026 12:04:02 PM","General"
"semver.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\istanbul-lib-instrument\node_modules\.bin\semver.ps1",".ps1","805","9/6/2026 12:04:02 PM","General"
"semver.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\jest-snapshot\node_modules\.bin\semver.ps1",".ps1","805","9/6/2026 12:04:02 PM","General"
"semver.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\jsonwebtoken\node_modules\.bin\semver.ps1",".ps1","805","9/6/2026 3:43:11 PM","General"
"semver.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\make-dir\node_modules\.bin\semver.ps1",".ps1","805","9/6/2026 3:43:11 PM","General"
"semver.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\node-abi\node_modules\.bin\semver.ps1",".ps1","805","9/6/2026 5:41:36 PM","General"
"semver.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\nodemon\node_modules\.bin\semver.ps1",".ps1","793","9/6/2026 3:43:11 PM","General"
"semver.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\sequelize\node_modules\.bin\semver.ps1",".ps1","805","9/6/2026 3:43:11 PM","General"
"semver.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\simple-update-notifier\node_modules\.bin\semver.ps1",".ps1","805","9/6/2026 3:43:11 PM","General"
"mime.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\superagent\node_modules\.bin\mime.ps1",".ps1","769","9/6/2026 3:43:11 PM","General"
"semver.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\superagent\node_modules\.bin\semver.ps1",".ps1","805","9/6/2026 3:43:11 PM","General"
"acorn.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\node_modules\.bin\acorn.ps1",".ps1","785","9/6/2026 8:49:36 PM","General"
"baseline-browser-mapping.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\node_modules\.bin\baseline-browser-mapping.ps1",".ps1","873","9/6/2026 8:49:36 PM","General"
"browserslist.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\node_modules\.bin\browserslist.ps1",".ps1","801","9/6/2026 8:49:36 PM","General"
"eslint.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\node_modules\.bin\eslint.ps1",".ps1","805","9/6/2026 8:49:36 PM","General"
"jsesc.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\node_modules\.bin\jsesc.ps1",".ps1","785","9/6/2026 8:49:36 PM","General"
"json5.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\node_modules\.bin\json5.ps1",".ps1","789","9/6/2026 8:49:36 PM","General"
"nanoid.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\node_modules\.bin\nanoid.ps1",".ps1","809","9/6/2026 8:49:36 PM","General"
"node-which.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\node_modules\.bin\node-which.ps1",".ps1","805","9/6/2026 8:49:36 PM","General"
"parser.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\node_modules\.bin\parser.ps1",".ps1","857","9/6/2026 8:49:36 PM","General"
"rolldown.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\node_modules\.bin\rolldown.ps1",".ps1","805","9/6/2026 8:49:36 PM","General"
"semver.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\node_modules\.bin\semver.ps1",".ps1","805","9/6/2026 8:49:36 PM","General"
"update-browserslist-db.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\node_modules\.bin\update-browserslist-db.ps1",".ps1","841","9/6/2026 8:49:36 PM","General"
"vite.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\node_modules\.bin\vite.ps1",".ps1","789","9/6/2026 8:49:36 PM","General"
"baseline-browser-mapping.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\node_modules\.bin\baseline-browser-mapping.ps1",".ps1","873","17/6/2026 7:24:19 AM","General"
"browserslist.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\node_modules\.bin\browserslist.ps1",".ps1","801","17/6/2026 7:24:19 AM","General"
"create-vite.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\node_modules\.bin\create-vite.ps1",".ps1","805","9/6/2026 8:35:54 PM","General"
"cva.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\node_modules\.bin\cva.ps1",".ps1","805","9/6/2026 8:35:54 PM","General"
"esparse.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\node_modules\.bin\esparse.ps1",".ps1","813","17/6/2026 7:24:19 AM","General"
"esvalidate.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\node_modules\.bin\esvalidate.ps1",".ps1","825","17/6/2026 7:24:19 AM","General"
"glob.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\node_modules\.bin\glob.ps1",".ps1","809","17/6/2026 7:24:19 AM","General"
"import-local-fixture.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\node_modules\.bin\import-local-fixture.ps1",".ps1","837","17/6/2026 7:24:19 AM","General"
"jest.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\node_modules\.bin\jest.ps1",".ps1","789","17/6/2026 7:24:19 AM","General"
"js-yaml.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\node_modules\.bin\js-yaml.ps1",".ps1","813","17/6/2026 7:24:19 AM","General"
"jsesc.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\node_modules\.bin\jsesc.ps1",".ps1","785","17/6/2026 7:24:19 AM","General"
"json5.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\node_modules\.bin\json5.ps1",".ps1","789","17/6/2026 7:24:19 AM","General"
"mime.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\node_modules\.bin\mime.ps1",".ps1","769","17/6/2026 7:24:19 AM","General"
"napi-postinstall.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\node_modules\.bin\napi-postinstall.ps1",".ps1","833","17/6/2026 7:24:19 AM","General"
"node-which.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\node_modules\.bin\node-which.ps1",".ps1","805","17/6/2026 7:24:19 AM","General"
